date,Adj Close,EMA,MACD,MACD_Signal,RSI,Moving Average,Moving Average1,Moving Average2,Log Returns,Volatility,Open,High,Low,Close
2024-02-29 21:35:00,1.0807305574417114,1.0807051667740935,1.804143684491777e-05,5.816940193758263e-05,53.84615384615384,1.0807305574417114,1.0807305574417114,1.0807305574417114,0.000108092427955025,0.0,1.0808473825454712,1.0808473825454712,1.0807305574417114,1.0807305574417114
2024-02-29 21:40:00,1.0808473825454712,1.0807080990580393,1.7660320542400854e-05,5.006758565854627e-05,57.142857142857146,1.0807889699935913,1.0807889699935913,1.0807889699935913,0.000108092427955025,5.841255187988281e-05,1.0807305574417114,1.0808473825454712,1.0807305574417114,1.0808473825454712
2024-02-29 21:45:00,1.0808473825454712,1.0807109708825224,1.7160467934651535e-05,4.3486162113767326e-05,53.84615384615384,1.080808440844218,1.080808440844218,1.080808440844218,0.0,5.5071882054221785e-05,1.0808473825454712,1.0808473825454712,1.0808473825454712,1.0808473825454712
2024-02-29 21:50:00,1.0808473825454712,1.0807137834941296,1.6573284633114582e-05,3.810358661763678e-05,63.63046099619701,1.0808181762695312,1.0808181762695312,1.0808181762695312,0.0,5.058675382783896e-05,1.0808473825454712,1.0808473825454712,1.0808473825454712,1.0808473825454712
2024-02-29 21:55:00,1.0808473825454712,1.080716538113745,1.592437139508185e-05,3.3667743573125796e-05,63.63046099619701,1.0808240175247192,1.0808240175247192,1.0808240175247192,0.0,4.673004150389237e-05,1.0807305574417114,1.0808473825454712,1.0807305574417114,1.0808473825454712
2024-02-29 22:00:00,1.0807305574417114,1.0807168271720535,5.915107773146744e-06,2.811721641312999e-05,50.0,1.080808440844218,1.080808440844218,1.080808440844218,-0.00010809242795489522,5.507188205423552e-05,1.0808473825454712,1.0808473825454712,1.0806137323379517,1.0807305574417114
2024-02-29 22:05:00,1.0807305574417114,1.080717110270397,-1.9943165208147207e-06,2.209490982634105e-05,50.0,1.0807973146438599,1.0807973146438599,1.0807973146438599,0.0,5.781343294612662e-05,1.0807305574417114,1.0807305574417114,1.0806137323379517,1.0807305574417114
2024-02-29 22:10:00,1.0807305574417114,1.0807173875316611,-8.168431662625153e-06,1.604224152854781e-05,50.0,1.0807889699935913,1.0807889699935913,1.0807889699935913,0.0,5.841255187988856e-05,1.0806137323379517,1.0808473825454712,1.0806137323379517,1.0807305574417114
2024-02-29 22:15:00,1.0806137323379517,1.080715250311172,-2.223199531647957e-05,8.387394159542332e-06,45.455388610647375,1.0807694991429646,1.0807694991429646,1.0807694991429646,-0.00010810411319099208,7.7883402506505e-05,1.0808473825454712,1.0808473825454712,1.0804970264434814,1.0806137323379517
2024-02-29 22:20:00,1.0807305574417114,1.080715565922111,-2.3677719300341238e-05,1.974371467565618e-06,45.455388610647375,1.0807656049728394,1.0807656049728394,1.0807656049728394,0.0001081041131909047,7.480456534246946e-05,1.0806137323379517,1.0807305574417114,1.0806137323379517,1.0807305574417114
2024-02-29 22:25:00,1.0808473825454712,1.080718283790634,-1.5221195975634316e-05,-1.4647420210743689e-06,45.455388610647375,1.080773039297624,1.080773039297624,1.080773039297624,0.000108092427955025,7.509802098304338e-05,1.0807305574417114,1.0808473825454712,1.0807305574417114,1.0808473825454712
2024-02-29 22:30:00,1.0807305574417114,1.0807185368556047,-1.7741635312207293e-05,-4.720120679300954e-06,41.66808365924163,1.0807694991429646,1.0807694991429646,1.0807694991429646,-0.00010809242795489522,7.285325207388656e-05,1.0807305574417114,1.0807305574417114,1.0804970264434814,1.0807305574417114
2024-02-29 22:35:00,1.0807305574417114,1.0807187847027409,-1.9514154617983337e-05,-7.678927467037432e-06,36.366165831942126,1.0807665036274836,1.0807665036274836,1.0807665036274836,0.0,7.076013745280972e-05,1.0807305574417114,1.0807305574417114,1.0807305574417114,1.0807305574417114
2024-02-29 22:40:00,1.0806137323379517,1.0807166186746007,-2.999987853780084e-05,-1.2143117681190116e-05,27.27019756979871,1.080755591392517,1.080755591392517,1.080755591392517,-0.00010810411319099208,7.872327318714532e-05,1.0806137323379517,1.0807305574417114,1.0806137323379517,1.0806137323379517
2024-02-29 22:45:00,1.0806137323379517,1.0807144973068346,-3.7873310343439215e-05,-1.7289156213639934e-05,30.0,1.0807461341222127,1.0807461341222127,1.0807461341222127,0.0,8.38829916475767e-05,1.0806137323379517,1.0807305574417114,1.0806137323379517,1.0806137323379517
2024-02-29 22:50:00,1.0807305574417114,1.080714828443636,-3.429096732343595e-05,-2.0689518435599136e-05,36.363636363636374,1.0807451605796814,1.0807451605796814,1.0807451605796814,0.0001081041131909047,8.130683117467933e-05,1.0806137323379517,1.0807305574417114,1.0806137323379517,1.0807305574417114
2024-02-29 22:55:00,1.0806137323379517,1.0807127439878486,-4.041288956102562e-05,-2.4634192660684432e-05,33.33333333333333,1.0807374295066385,1.0807374295066385,1.0807374295066385,-0.00010810411319099208,8.472450653116759e-05,1.0807305574417114,1.0808473825454712,1.0806137323379517,1.0806137323379517
2024-02-29 23:00:00,1.0807305574417114,1.080713111275557,-3.5429340136117204e-05,-2.679322215577099e-05,41.66666666666667,1.0807370477252536,1.0807370477252536,1.0807370477252536,0.0001081041131909047,8.23524659848159e-05,1.0808473825454712,1.0808473825454712,1.0806137323379517,1.0807305574417114
2024-02-29 23:05:00,1.0806137323379517,1.0807110622252971,-4.044047817841623e-05,-2.9522673360300037e-05,41.66666666666667,1.0807305574417114,1.0807305574417114,1.0807305574417114,-0.00010810411319099208,8.47538381943378e-05,1.0806137323379517,1.0807305574417114,1.0806137323379517,1.0806137323379517
2024-02-29 23:10:00,1.0806137323379517,1.0807090554234962,-4.390572333190512e-05,-3.239928335462106e-05,41.66666666666667,1.0807247161865234,1.0807247161865234,1.0807247161865234,0.0,8.644268283372047e-05,1.0806137323379517,1.0806137323379517,1.0806137323379517,1.0806137323379517
2024-02-29 23:15:00,1.0806137323379517,1.0807070899990519,-4.6120308870412074e-05,-3.514348845777926e-05,41.66666666666667,1.0807194312413533,1.0807194312413533,1.0807194312413533,0.0,8.760778922728818e-05,1.0806137323379517,1.0806137323379517,1.0806137323379517,1.0806137323379517
2024-02-29 23:20:00,1.0806137323379517,1.0807051650988229,-4.7329795444639444e-05,-3.75807498551513e-05,41.66666666666667,1.0807146267457441,1.0807146267457441,1.0807146267457441,0.0,8.83798742161496e-05,1.0807305574417114,1.0807305574417114,1.0806137323379517,1.0806137323379517
