date,Doji,Three Crows Pattern,Hammer_Signal,Engulfing,Harami,Three_crows,Piercing,Daily Return,High-Low Range,Close-Open Change,Relative High,Relative Low,Moving Average1,Moving Average2,Moving Average3,Volatility,Log Returns,RSI,Stochastic,Close
2024-04-01 16:00:00,0,0,1,0,0,0,0,8.629764296972376e-05,0.008600234985351562,0.00164031982421875,0.0002444159012288379,-0.0005399764821454184,10.953055722372872,10.930033922195435,10.91905232838222,0.012025064649778077,0.00014959569616736126,72.23718195306918,96.90041291765088,10.965840339660645
2024-04-01 16:05:00,0,0,0,0,0,0,0,0.00017220752594635514,0.011159896850585938,0.005450248718261719,0.0007743543039287152,-0.0002434480171511259,10.95672573362078,10.932596785681588,10.921324956984748,0.008248622852838155,0.0003929299954783928,81.10192583013901,94.8117890214331,10.970149993896484
2024-04-01 16:10:00,0,0,0,0,0,0,0,1.4855395867585663e-05,0.011110305786132812,-0.01020050048828125,0.0,-0.0010126172984587355,10.95766360419137,10.934810706547328,10.923225425538563,0.008007482636821567,-0.0007733122446427171,60.708063713290194,66.4425801433413,10.961669921875
2024-04-01 16:15:00,0,0,0,-1,0,0,0,-1.3961459564648671e-05,0.005889892578125,-0.0010995864868164062,0.0001678941351794845,-0.0003693670973948659,10.958806446620397,10.937237126486641,10.925079005105156,0.007333292380451326,3.6540279351431497e-06,63.670289914117625,66.55925329184956,10.961709976196289
2024-04-01 16:20:00,0,0,0,0,1,0,0,-3.8232397082427204e-05,0.0039997100830078125,0.00034046173095703125,0.00029014537544811586,-7.473309670462714e-05,10.96044213431222,10.939674990517753,10.926926158723377,0.004941619982674693,3.5582573955833204e-05,71.85054417064026,67.69542752375132,10.9621000289917
2024-04-01 16:25:00,0,0,0,0,0,0,0,-1.906983529817996e-05,0.00543975830078125,0.0015802383422851562,0.0003849245621798439,-0.00011125842147525884,10.961293561117989,10.942129986626762,10.928657123020717,0.004577123435730228,0.0002453895845957411,64.38882877075037,68.46853297057349,10.964790344238281
2024-04-01 16:30:00,0,0,0,0,0,0,0,-5.663596840272955e-05,0.008540153503417969,0.0037298202514648438,0.0006074358569308057,-0.00017153995558750521,10.962266445159912,10.944562128611974,10.93036665235247,0.004234839604366915,0.00020515549123132693,65.7930820948337,76.9134388200759,10.967040061950684
2024-04-01 16:35:00,0,0,0,0,0,0,0,0.0001428197462277847,0.0044403076171875,0.0024595260620117188,0.00034105015098121486,-6.382733575222124e-05,10.963125705718994,10.947077104023524,10.931779498145694,0.004391952252946219,0.0002242401136699692,64.48286947735832,86.14591537194816,10.969499588012695
2024-04-01 16:40:00,0,0,0,0,0,0,0,0.0001318823329013341,0.0043201446533203125,0.000919342041015625,0.0002844149230275486,-0.00010947061696474585,10.96436425617763,10.94958782196045,10.933098066420783,0.003268208636749912,-5.1034334250624926e-05,73.9362822538178,80.23064981148814,10.968939781188965
2024-04-01 16:45:00,0,0,0,0,0,0,0,0.00013679862521898123,0.006289482116699219,0.002559661865234375,0.0005452280588098462,-2.826142250609251e-05,10.964970656803676,10.952054228101458,10.934569018227714,0.003393367591552247,6.016285879027876e-05,65.50871080139373,79.45878116645753,10.969599723815918
2024-04-01 16:50:00,1,0,0,0,0,0,0,0.00011598690173477699,0.00572967529296875,-4.9591064453125e-05,0.00018593311258376007,-0.0003363137973756745,10.965716430119105,10.953970330102104,10.936094261351085,0.0035198932628448974,0.00014135108712608224,68.3040192603491,86.88338122605363,10.971150398254395
2024-04-01 16:55:00,0,0,0,0,0,0,0,-1.0913557055713952e-05,0.009089469909667969,-0.00482940673828125,0.00010848202527596419,-0.0007199972879493681,10.96611499786377,10.95556606565203,10.93766736984253,0.0032532673077975,-0.0004294179435832628,58.43399544497939,54.54835213871358,10.966440200805664
2024-04-01 17:00:00,0,-1,0,0,0,0,0,-7.328095263712254e-05,0.004469871520996094,-0.0005502700805664062,0.00021063221319667344,-0.0001969785148185241,10.966329302106585,10.95710107258388,10.939106895810081,0.003102035479208371,-8.757555517040225e-05,54.62701494293446,48.12902403263849,10.965479850769043
2024-04-01 17:05:00,1,0,0,0,0,0,0,-4.538452703692908e-05,0.00337982177734375,-0.0002803802490234375,0.0001522681519550935,-0.00015592050054567827,10.9664899962289,10.958394629614693,10.940683796292259,0.003045322911527181,8.844518458917343e-05,53.551748020115035,54.612099190412444,10.966449737548828
2024-04-01 17:10:00,0,0,0,0,0,0,0,-7.839291321849462e-05,0.006659507751464844,-0.002330780029296875,0.0002917291355409215,-0.0003154674526803169,10.966451372419085,10.959753547395978,10.942173072269984,0.003056725280727621,-0.00010488276230109259,49.13289493806392,45.1623526312323,10.965299606323242
2024-04-01 17:15:00,0,0,0,0,0,0,0,-0.00019475039612457668,0.006159782409667969,-0.0048198699951171875,0.0,-0.0005617528009365156,10.96575995853969,10.961242846080236,10.943651176634289,0.003231672009590807,-0.00044052335303449255,34.73225030084235,11.809260356978198,10.960470199584961
2024-04-01 17:20:00,0,0,0,0,0,0,0,-0.0001302375839232095,0.0042400360107421875,-0.002559661865234375,0.0,-0.0003867989671092989,10.965590681348528,10.96162714276995,10.945070698147727,0.0034929809319637034,-0.00010676739532281524,45.14173998044965,10.757677513889737,10.95930004119873
2024-04-01 17:25:00,0,0,0,0,0,0,0,-0.00015743392954175038,0.0052204132080078125,-0.0024595260620117188,6.117475190070302e-05,-0.0004151703290444582,10.965243543897357,10.962024995258876,10.94657259895688,0.004057308136151131,-0.00022357844043305192,40.93302967760302,11.311796883063268,10.956850051879883
2024-04-01 17:30:00,0,0,0,0,0,0,0,-0.00019355862913295052,0.004189491271972656,-0.0022401809692382812,2.9154823426205224e-05,-0.00035316499541355464,10.964796406882149,10.962619270597186,10.948048795972552,0.004676753434887128,-9.217865029742448e-05,38.58514190317195,8.56469880725669,10.955840110778809
2024-04-01 17:35:00,0,0,0,0,0,0,0,-0.00018299401209009858,0.002689361572265625,-0.0005598068237304688,6.572063767298455e-05,-0.00017975247257577895,10.964116368974958,10.962704965046473,10.949458780742827,0.005281300840109432,-5.20555319478995e-05,31.184741226582233,7.273264111018158,10.955269813537598
