date,Doji,Three Crows Pattern,Hammer_Signal,Engulfing,Harami,Three_crows,Piercing,Three line Strike,Three Outside,Daily Return,High-Low Range,Close-Open Change,Relative High,Relative Low,Moving Average,Log Returns,BB_Middle,BB_Upper,BB_Lower,RSI,Stochastic,Close
2024-03-07 17:50:00,0,0,0,0,0,0,0,0,0,-0.0005240421379307802,0.0048999786376953125,-0.0029897689819335938,0.0001334208286019117,-0.0003367549034671022,10.418600082397461,-0.0005241794960016514,10.406228409873115,10.413809976841256,10.398646842904975,34.546789385094726,7.0045533852504365,10.418600082397461
2024-03-07 17:55:00,0,0,0,-1,0,0,0,0,0,-0.0005240421379307802,0.0060100555419921875,-0.005970001220703125,0.0,-0.0005768300142724697,10.415870189666748,-0.0005241794960016514,10.406228409873115,10.413809976841256,10.398646842904975,34.546789385094726,7.0045533852504365,10.413140296936035
2024-03-07 18:00:00,1,0,0,0,1,0,0,0,0,4.130426599791015e-05,0.004509925842285156,0.00025081634521484375,0.0003140352318406998,-0.00011905680997168554,10.415103594462076,4.130341300020355e-05,10.406228409873115,10.413809976841256,10.398646842904975,34.546789385094726,7.0045533852504365,10.413570404052734
2024-03-07 18:05:00,0,0,0,0,0,0,0,0,0,-0.00035148387002237325,0.00601959228515625,-0.0036602020263671875,0.00012958563733238577,-0.00044846704312133796,10.41380524635315,-0.00035154565495584535,10.406228409873115,10.413809976841256,10.398646842904975,34.546789385094726,7.0045533852504365,10.409910202026367
2024-03-07 18:10:00,0,0,0,0,0,0,0,0,0,-0.00017195601663755333,0.0028600692749023438,-0.000820159912109375,0.00010472245114670168,-0.00017004800466166082,10.412668228149414,-0.00017197080276844934,10.406228409873115,10.413809976841256,10.398646842904975,34.546789385094726,7.0045533852504365,10.408120155334473
2024-03-07 18:15:00,0,0,0,0,0,0,1,0,0,7.49516319160648e-05,0.0027799606323242188,0.0008802413940429688,0.00019022137516493183,-7.687655768948834e-05,10.41204023361206,7.494882318284657e-05,10.406228409873115,10.413809976841256,10.398646842904975,34.546789385094726,7.0045533852504365,10.408900260925293
2024-03-07 18:20:00,0,0,0,0,0,0,0,0,0,6.239393146167949e-05,0.0034894943237304688,0.0002899169921875,0.00010279526152323888,-0.0002324345619291061,10.410531838734945,6.239198504130065e-05,10.406228409873115,10.413809976841256,10.398646842904975,34.546789385094726,7.0045533852504365,10.409549713134766
2024-03-07 18:25:00,0,0,0,-1,0,0,0,0,0,-0.0002593629949564358,0.0032596588134765625,-0.002910614013671875,3.261439659930786e-05,-0.00028052045614348505,10.409483432769775,-0.00025939663535485424,10.406228409873115,10.413809976841256,10.398646842904975,34.546789385094726,7.0045533852504365,10.40684986114502
2024-03-07 18:30:00,0,0,-1,0,1,0,0,0,0,9.228056995480571e-05,0.004250526428222656,0.000949859619140625,0.0003189953725968588,-8.943966781227641e-05,10.408523400624594,9.227631236493666e-05,10.406228409873115,10.413809976841256,10.398646842904975,34.546789385094726,7.0045533852504365,10.40781021118164
2024-03-07 18:35:00,0,0,0,1,0,0,0,0,0,7.394592692633317e-05,0.003810882568359375,0.0020694732666015625,0.0003459488745297959,-2.0252900998962886e-05,10.40830167134603,7.394319306104998e-05,10.406228409873115,10.413809976841256,10.398646842904975,34.546789385094726,7.0045533852504365,10.40857982635498
