date,MACD,RSI,BB_Middle,BB_Upper,BB_Lower,Moving Average2,Moving Average3,Volatility,MA_diff,ADX,Doji,Hammer_Signal,Engulfing,Harami,Three_crows,Open,High,Low,Close
2024-04-04 23:00:00,0.0004787403991168837,32.830325822456786,1.0855242550373077,1.0879783256772233,1.083070184397392,1.0851254590920039,1.0833542261804854,0.001276510585324034,-0.0012320407799311095,48.652852941684166,0,0,0,0,0,1.0841283798217773,1.0843634605407715,1.0838934183120728,1.0838934183120728
2024-04-05 00:00:00,0.00037686353848376264,33.89009411649566,1.0854948699474334,1.0880147248358534,1.0829750150590134,1.085129656961986,1.0834988667851402,0.0013477314342906302,-0.0012362386499131794,47.20790489678707,0,-1,0,0,0,1.0840108394622803,1.0843634605407715,1.0838934183120728,1.0838934183120728
2024-04-05 01:00:00,0.00032621516633524195,37.88220148052784,1.0854889929294587,1.0880181797197823,1.082959806139135,1.0851506463118963,1.0836685612088157,0.0013528492948554408,-0.0006695262023381776,45.46171447432279,0,0,0,0,0,1.0838934183120728,1.0845986604690552,1.0837758779525757,1.084481120109558
2024-04-05 02:00:00,0.00019187056498415345,34.749051033319276,1.0854067742824554,1.088155231231572,1.0826583173333386,1.0851254974092757,1.0838019024758112,0.0014915548584115495,-0.002171209880283964,43.5716127236688,0,0,0,0,0,1.0843634605407715,1.0845986604690552,1.0828369855880737,1.0829542875289917
2024-04-05 03:00:00,7.521692478418274e-05,17.229275448369805,1.0853304505348205,1.088278433902144,1.0823824671674969,1.0850835740566254,1.083926918960753,0.0014892205634326916,-0.0022465884685516357,41.50767348689039,0,0,0,0,0,1.0829542875289917,1.0830715894699097,1.0827198028564453,1.0828369855880737
2024-04-05 04:00:00,-1.2185678134324363e-05,18.627568801826712,1.0851775527000427,1.0882893006002596,1.0820658047998257,1.0850416421890259,1.0840657835914975,0.001406486862066828,-0.0020873546600341797,39.3610004726083,0,0,0,0,0,1.0828369855880737,1.0830715894699097,1.0827198028564453,1.0829542875289917
2024-04-05 05:00:00,-8.22032169887077e-05,19.284089293331448,1.0850010633468627,1.0881999799382396,1.081802146755486,1.0849829145840235,1.084185296580905,0.0012817945567057372,-0.0020286270550318175,37.155744751009614,1,0,0,0,0,1.0829542875289917,1.0830715894699097,1.0828369855880737,1.0829542875289917
2024-04-05 06:00:00,-0.0001375782472599063,20.359528634691884,1.084836369752884,1.0881033861937048,1.0815693533120632,1.0849325869764601,1.0842854295458113,0.0011315403955482535,-0.0019782994474684124,34.84160452957268,1,0,0,0,0,1.0829542875289917,1.0830715894699097,1.0828369855880737,1.0829542875289917
2024-04-05 07:00:00,-0.00016675375018571081,25.478542606690652,1.084677505493164,1.0879403022217897,1.0814147087645385,1.0848822380815233,1.0844105283419292,0.0009855161351513602,-0.0016933466706956501,32.55198323204072,1,0,0,0,0,1.0831888914108276,1.0835410356521606,1.082602620124817,1.0831888914108276
2024-04-05 08:00:00,-0.00011891514359674282,35.56254511704651,1.0846186459064484,1.0878582711181888,1.081379020694708,1.0848780359540666,1.0845331265812828,0.0007130497803826906,-0.0005145754132951375,30.131571520201028,0,0,0,0,0,1.0835410356521606,1.0843634605407715,1.0834236145019531,1.0843634605407715
2024-04-05 09:00:00,-9.328237702899145e-05,40.37110746897682,1.084459513425827,1.0874449882106039,1.0814740386410502,1.084861240216664,1.0845694541931152,0.0005713152124963846,-0.0007328603948866252,27.7317403702734,1,0,0,0,0,1.0841283798217773,1.0848339796066284,1.0838934183120728,1.0841283798217773
