date,Open,High,Low,MACD,RSI,BB_Middle,BB_Upper,BB_Lower,Moving Average2,Moving Average3,Volatility,MA_diff,ADX,Moving Average Slope,Doji,Three Crows Pattern,Hammer_Signal,Engulfing,Harami,Three_crows,Piercing,Close
2024-04-04 07:00:00,1.084481120109558,1.0849517583847046,1.0842459201812744,0.0013967804142058782,68.17427385892117,1.0831632435321807,1.0872421037478097,1.0790843833165518,1.0791126097951615,1.0804836539995102,0.0003758936503909296,0.005250850745609936,28.864542829867535,4.795132851105015e-06,0,0,-1,0,0,0,0,1.0843634605407715
2024-04-04 08:00:00,1.0842459201812744,1.086130142211914,1.0842459201812744,0.00143010623113482,80.01216122307157,1.0835264205932618,1.0872261193985093,1.0798267217880142,1.0791336144719805,1.080504908448174,0.0005693284233982303,0.006878629752567811,31.203233084413025,1.2608207001980304e-05,0,0,0,0,0,0,0,1.0860122442245483
2024-04-04 09:00:00,1.085894227027893,1.0866022109985352,1.0854227542877197,0.00147068498276548,81.1000985653269,1.0839538872241974,1.0868135230648843,1.0810942513835105,1.079154636178698,1.080526738507407,0.0007678820953083074,0.007329438413892442,33.62396678771765,1.381732979599537e-05,0,0,0,0,0,0,0,1.0864840745925903
2024-04-04 10:00:00,1.086130142211914,1.0868383646011353,1.085894227027893,0.0014747427356849308,76.93166766226008,1.08430557847023,1.0863144952501809,1.0822966616902792,1.0791831868035453,1.0805468877156577,0.0008514790855494143,0.007064972605024034,36.14779637778894,1.2613680897920001e-05,0,0,0,0,0,0,0,1.0862481594085693
2024-04-04 11:00:00,1.0862481594085693,1.0864840745925903,1.085894227027893,0.0014704272084646863,76.93406393642714,1.0844937562942505,1.0865358180060518,1.0824516945824492,1.0792125804083688,1.0805687132335844,0.0009163158696141834,0.007153596196855849,38.628355109606254,1.2616113740577489e-05,0,0,1,0,0,0,0,1.0863661766052246
2024-04-04 12:00:00,1.0862481594085693,1.0864840745925903,1.0855406522750854,0.0014035214328997903,68.16456133084834,1.0846230745315553,1.0865804701778061,1.0826656788853044,1.0792369135788509,1.0805810292561848,0.0008616749689263561,0.006303738696234573,40.95299793793777,9.603038126106331e-06,0,0,0,0,0,0,0,1.0855406522750854
2024-04-04 13:00:00,1.0856584310531616,1.087311029434204,1.0854227542877197,0.0014408809119830224,75.00541946672448,1.0848174452781678,1.0870288957002407,1.0826059948560949,1.0792764008045197,1.0806012170655386,0.0009926106796073067,0.008034628629684404,43.09163709027792,1.6837703938391408e-05,0,0,0,0,0,0,0,1.087311029434204
2024-04-04 14:00:00,1.087074637413025,1.087902545928955,1.08672034740448,0.0014566298182894233,74.55214272576788,1.08500594496727,1.0873948682815933,1.0826170216529467,1.07931170633861,1.0806275418826512,0.0010681166232251412,0.007999323095594146,44.982458377284715,1.6238008226667133e-05,0,0,0,0,0,0,0,1.087311029434204
2024-04-04 15:00:00,1.087311029434204,1.087902545928955,1.087074637413025,0.0014408729461119485,69.81567699587849,1.0851708829402924,1.0876558002738217,1.0826859656067631,1.07934364931924,1.0806521841457912,0.0011098663500525752,0.0077309880937848074,46.577535072757534,1.2632535428412441e-05,0,0,-1,0,0,0,0,1.087074637413025
2024-04-04 16:00:00,1.087074637413025,1.087074637413025,1.0866022109985352,0.0013930027351312102,68.50974591345704,1.0853181064128876,1.0878039261305374,1.0828322866952378,1.079374735695975,1.0806801506451198,0.001077499414232137,0.0073456117085048955,47.9487476787822,1.2024932978106837e-05,0,0,0,0,0,0,0,1.08672034740448
2024-04-04 17:00:00,1.0868383646011353,1.08695650100708,1.086130142211914,0.0013058551940674512,61.39221424137625,1.0854299426078797,1.0878461681415414,1.083013717074218,1.0793999322823116,1.0807047503335134,0.0010226357520291658,0.006730209929602493,48.826885689479774,7.81368236153173e-06,0,0,0,0,0,0,0,1.086130142211914
2024-04-04 18:00:00,1.086130142211914,1.0864840745925903,1.086130142211914,0.0012370118701601207,63.77943149932902,1.0855653285980225,1.0878642060129606,1.0832664511830843,1.0794234650475638,1.0807315866152445,0.0009418372447826516,0.006942711557660797,49.35140244798795,9.617635181971959e-06,0,0,0,0,0,0,0,1.0863661766052246
2024-04-04 19:00:00,1.0862481594085693,1.0862481594085693,1.0850694179534912,0.0011066638354821912,54.53710084998851,1.0856300354003907,1.0878146989469,1.0834453718538815,1.0794394178049904,1.0807528132484072,0.0008778592188978633,0.005865557704653135,49.76461854200266,3.6036481662536446e-06,0,0,0,0,0,0,0,1.0853049755096436
2024-04-04 20:00:00,1.0853049755096436,1.0853049755096436,1.0836584568023682,0.0008935620686010282,45.0149797110243,1.08560653924942,1.0878679638895208,1.0833451146093194,1.0794436097145081,1.0807650866962615,0.0010173803566262624,0.004214847087860019,49.996170684329975,-4.796957483090201e-06,0,0,0,0,0,0,0,1.0836584568023682
2024-04-04 21:00:00,1.0835410356521606,1.0841283798217773,1.0835410356521606,0.0007346111089150398,48.15332750655513,1.0855771481990815,1.0879079424238505,1.0832463539743125,1.0794611956392015,1.0807812633968534,0.0010625242087594726,0.004549643823078764,50.05171557909845,-1.7990871351569737e-06,0,0,0,0,0,0,0,1.0840108394622803
2024-04-04 22:00:00,1.0840108394622803,1.0842459201812744,1.0837758779525757,0.0005998024513012012,37.330777705670165,1.0855595171451569,1.0879338946882893,1.0831851396020244,1.079478781563895,1.0807913161459424,0.001184120923560042,0.004532057898385178,49.59338561921551,-1.0211248787084237e-05,1,0,0,0,0,0,0,1.0840108394622803
2024-04-04 23:00:00,1.0841283798217773,1.0843634605407715,1.0838934183120728,0.0004787403991168837,32.830325822456786,1.0855242550373077,1.0879783256772175,1.0830701843973978,1.0794921857970101,1.0807980208169847,0.0012765105853237823,0.004401232515062636,48.652852941684166,-1.3217634084271093e-05,0,0,0,0,0,0,0,1.0838934183120728
2024-04-05 00:00:00,1.0840108394622803,1.0843634605407715,1.0838934183120728,0.00037686353848376264,33.89009411649566,1.0854948699474334,1.0880147248358478,1.082975015059019,1.0795047530106137,1.0808086287407648,0.0013477314342903916,0.004388665301459094,47.20790489678707,-1.2013985186211582e-05,0,0,-1,0,0,0,0,1.0838934183120728
2024-04-05 01:00:00,1.0838934183120728,1.0845986604690552,1.0837758779525757,0.00032621516633524195,37.88220148052784,1.0854889929294587,1.0880181797197768,1.0829598061391406,1.079519007887159,1.080822035244533,0.0013528492948552033,0.004962112222399062,45.46171447432279,-9.617635181971959e-06,0,0,0,0,0,0,0,1.084481120109558
2024-04-05 02:00:00,1.0843634605407715,1.0845986604690552,1.0828369855880737,0.00019187056498415345,34.749051033319276,1.0854067742824554,1.088155231231567,1.0826583173333437,1.0795223568167005,1.0808242678642273,0.001491554858411334,0.003431930712291198,43.5716127236688,-1.3195738500480583e-05,0,0,0,0,0,0,0,1.0829542875289917
2024-04-05 03:00:00,1.0829542875289917,1.0830715894699097,1.0827198028564453,7.521692478418274e-05,17.229275448369805,1.0853304505348205,1.0882784339021392,1.0823824671675017,1.0795240308557237,1.0808281733876184,0.0014892205634324757,0.0033129547323500486,41.50767348689039,-2.2826754316989423e-05,0,0,0,0,0,0,0,1.0828369855880737
2024-04-05 04:00:00,1.0828369855880737,1.0830715894699097,1.0827198028564453,-1.2185678134324363e-05,18.627568801826712,1.0851775527000427,1.0882893006002552,1.0820658047998302,1.0795265427657537,1.080833194937025,0.0014064868620665995,0.0034277447632380387,39.3610004726083,-2.222827502659389e-05,0,0,0,0,0,0,0,1.0829542875289917
2024-04-05 05:00:00,1.0829542875289917,1.0830715894699097,1.0828369855880737,-8.22032169887077e-05,19.284089293331448,1.0850010633468627,1.0881999799382351,1.0818021467554904,1.0795332389218466,1.0808387733641125,0.0012817945567054863,0.003421048607145094,37.155744751009614,-2.1022193285876894e-05,1,0,0,0,0,0,0,1.0829542875289917
