date,Adj Close,MACD,MACD_Signal,RSI,BB_Middle,BB_Upper,BB_Lower,Moving Average2,Moving Average3,Volatility,MA_diff,ADX,ADX_14,DMP_14,DMN_14,Moving Average Slope,Doji,Engulfing,Hammer,ShootingStar,Daily Return,High-Low Range,Close-Open Change,Relative High,Relative Low,Open,High,Low,Close
2024-03-28 14:05:00,1.0810810327529907,0.0005033525997584221,0.0005066877286084251,64.26892165260338,1.0808420598506927,1.0823827046538808,1.0793014150475047,1.0807939044066839,1.0812323354539417,0.0003328114648000547,0.0002871283463068419,36.401421761916545,34.90704325266203,43.65646778317099,28.879720017727728,1.1920928955078125e-06,0,0,0,0,-0.00032430500676439156,0.00035071372985839844,-0.0002338886260986328,0.00010803985171199618,-0.00021630019291728216,1.0813149213790894,1.0814317464828491,1.0810810327529907,1.0810810327529907
2024-03-28 14:10:00,1.0810810327529907,0.0004604557471237225,0.0004974413323114846,64.26892165260338,1.0809295713901519,1.0822979802011938,1.07956116257911,1.0807821989059447,1.0812228566124327,0.00031615386722000165,0.00029883384704598726,37.94806453740654,33.86879393151048,41.39349324949508,27.382712260150935,-2.983273292067601e-06,1,0,0,0,0.0,0.0002338886260986328,0.0,0.0002163469888126994,0.0,1.0810810327529907,1.0813149213790894,1.0810810327529907,1.0810810327529907
2024-03-28 14:15:00,1.0807305574417114,0.00039364159846577707,0.0004766813855423431,63.13443256888125,1.0809879064559937,1.082201942479902,1.0797738704320854,1.0807679900101252,1.0812117088408697,0.00033416058844719084,-3.743256841381992e-05,39.10976917070214,31.972366620757867,38.19822539608329,32.988223341773036,-3.5774951078521814e-06,0,0,0,0,-0.0003241896774257569,0.00023365020751953125,-0.00023365020751953125,0.0,-0.00021614980946284016,1.080964207649231,1.080964207649231,1.0807305574417114,1.0807305574417114
2024-03-28 14:20:00,1.0808473825454712,0.00034612776835363235,0.000450570662104601,63.77007934971937,1.0810404241085052,1.0821211006438947,1.0799597475731157,1.0807554525988443,1.0812011173793248,0.0003440266526094887,9.192994662687859e-05,39.94028212648005,29.924185174601718,36.1924311867911,33.88151413622568,-1.1920928955078125e-06,0,0,0,0,0.00010809827015201279,0.00023365020751953125,0.00023365020751953125,0.00021621991330243373,0.0,1.0806137323379517,1.0808473825454712,1.0806137323379517,1.0808473825454712
2024-03-28 14:25:00,1.0807305574417114,0.00029563797559117866,0.00041958412480191655,61.384100388450314,1.081092929840088,1.0819801104256648,1.0802057492545112,1.080742917742048,1.081189969607762,0.00036064378822533836,-1.2360300336577978e-05,40.406812365131984,28.538094300425062,38.57525884934564,31.232266079241345,-2.384794001672067e-06,0,0,0,0,-0.00010808658617889044,0.0003504753112792969,-0.00011682510375976562,0.00021617317235784821,-0.00010808658617892411,1.0808473825454712,1.0810810327529907,1.0807305574417114,1.0807305574417114
2024-03-28 14:30:00,1.080964207649231,0.0002713501149032016,0.0003899373228221736,62.051859409633046,1.0811454594135284,1.0818427136044495,1.0804482052226072,1.0807320518153054,1.081180493036906,0.00036064378822533836,0.0002321558339255514,40.60749140769643,27.251009917261026,35.579261486394685,28.806571745527833,0.0,0,0,0,0,0.00021619654030380353,0.00023365020751953125,0.00011682510375976562,0.00021617317235784821,0.0,1.0808473825454712,1.0810810327529907,1.0808473825454712,1.080964207649231
2024-03-28 14:35:00,1.0807305574417114,0.00023059009222681226,0.0003580678767031014,58.60758825702274,1.0811396181583404,1.0818492344525517,1.080430001864129,1.080719516958509,1.0811682275363377,0.0003728041826778416,1.1040483202329199e-05,40.39007916370019,25.72821455620921,33.700128324883984,29.92591127578496,-1.1920928955078125e-06,0,0,0,0,-0.0002161498094628289,0.00011682510375976562,-0.00011682510375976562,0.0,-0.00010808658617892411,1.0808473825454712,1.0808473825454712,1.0807305574417114,1.0807305574417114
2024-03-28 14:40:00,1.0810810327529907,0.00022398593869654704,0.00033125148910179055,59.311835393792684,1.081110382080078,1.0817755145369015,1.0804452496232546,1.080710322516305,1.0811581901141576,0.0003719644349447978,0.0003707102366856674,39.693124424729284,24.865555966099972,36.29164037405211,27.573424070440748,-5.966546584103481e-07,0,0,0,0,0.0003242948104558163,0.00023365020751953125,0.00023365020751953125,0.00021617317235784821,0.0,1.0808473825454712,1.0810810327529907,1.0808473825454712,1.0810810327529907
2024-03-28 14:45:00,1.0803803205490112,0.00016036192819246509,0.0002970735769199254,54.67920618474536,1.0810578107833861,1.081779773833085,1.0803358477336873,1.0806952859674182,1.0811464917092097,0.0004060452191515252,-0.0003149654184069206,38.611222837384865,23.333126302903636,31.03820475283688,33.23076686506781,-1.7869229219488351e-06,0,0,0,0,-0.0006481588176560082,0.0005838871002197266,-0.0005838871002197266,0.0,-0.0005401539626270363,1.080964207649231,1.080964207649231,1.0803803205490112,1.0803803205490112
2024-03-28 14:50:00,1.080263614654541,9.93766984300759e-05,0.0002575342012219555,52.37701998121701,1.0810169398784637,1.0818212238265135,1.080212655930414,1.0806785787854876,1.081133678981236,0.00045418154499287966,-0.00041496413094654905,37.206428276918665,22.178054494455527,30.252717747323658,34.920502641123896,-2.9784076067843453e-06,0,0,0,0,-0.0001080229732534077,0.00011670589447021484,-0.00011670589447021484,0.0,-0.00010802297325344561,1.0803803205490112,1.0803803205490112,1.080263614654541,1.080263614654541
2024-03-28 14:55:00,1.0803803205490112,5.9773621697178925e-05,0.0002179820853170002,46.43195395599592,1.0809760570526123,1.0818235582436104,1.0801285558616143,1.0806618681975773,1.081120863414946,0.0004587310050475666,-0.0002815476485660273,35.417986379202276,20.67309730548967,33.004947243052754,32.281150408619006,-5.9616808988519466e-06,1,0,0,0,0.00010803464347675096,0.0002334117889404297,0.0,0.00021604594650689122,0.0,1.0803803205490112,1.0806137323379517,1.0803803205490112,1.0803803205490112
2024-03-28 15:00:00,1.0801469087600708,9.444645404865781e-06,0.00017627459733457332,37.25823549412964,1.0809351921081543,1.0818603577417432,1.0800100264745653,1.080644327402115,1.0811069363639467,0.0004390584154475061,-0.0004974186420441118,33.266812342970006,19.917854881913517,30.52069353007823,37.3782894010518,-8.346474900539874e-06,0,0,0,0,-0.00021604594650692643,0.0002334117889404297,-0.00011670589447021484,0.0,-0.00021606928695369672,1.080263614654541,1.080263614654541,1.0800302028656006,1.0801469087600708
2024-03-28 15:05:00,1.0800302028656006,-3.9404391937614136e-05,0.00013313879948013583,38.00624324158896,1.0808884918689727,1.0818979440149348,1.0798790397230107,1.0806259529931204,1.081093012151264,0.000397694103298629,-0.0005957501275197785,30.709503837033434,19.21655834573566,29.717729738021294,36.394910272773096,-8.941913137637339e-06,0,0,0,0,-0.00010804631622207683,0.00011670589447021484,-0.00011670589447021484,0.0,-0.0001080463162221004,1.0801469087600708,1.0801469087600708,1.0800302028656006,1.0800302028656006
2024-03-28 15:10:00,1.07991361618042,-8.652773919259893e-05,8.920549174558888e-05,39.5927649896916,1.0808242738246918,1.0819112631136414,1.0797372845357422,1.0806067458220892,1.0810785327638899,0.0003918644341759063,-0.0006931296416692323,27.886890561319806,19.071810931168457,28.125614753057892,39.802526445589216,-7.745562767486852e-06,1,0,0,0,-0.00010794761560495303,0.00011658668518066406,0.0,0.0,-0.00010795926955067308,1.07991361618042,1.07991361618042,1.0797970294952393,1.07991361618042
2024-03-28 15:15:00,1.0801469087600708,-0.00010385143522717577,5.059410635103595e-05,40.82040603852161,1.0807950913906097,1.0819232338343994,1.07966694894682,1.0805892050266266,1.0810651642935616,0.0003832400689580117,-0.00044229626655578613,25.09579268410761,18.28177544681432,32.04814906041264,37.630309250742776,-4.765938739389622e-06,0,0,0,0,0.00021602892690242292,0.0002332925796508789,0.0002332925796508789,0.00021602892690252272,0.0,1.07991361618042,1.0801469087600708,1.07991361618042,1.0801469087600708
