date,Hammer,Candle Pattern,Daily Return,High-Low Range,Close-Open Change,Relative High,Relative Low,Moving Average,Moving Average1,Moving Average2,Moving Average3,Volatility,Log Returns,RSI,MACD,MACD_Signal,Stochastic,Close
2024-03-29 15:10:00,0,0,-0.00032383734333696346,0.0003496408462524414,-0.0003496408462524414,0.0,-0.0003238373433369225,1.0798683994346194,1.0785379038916694,1.0792827672428555,1.0788065294424694,0.00038588884099044295,-0.00032388978997252495,53.48505386316616,-3.318143568242782e-05,5.824767698734219e-05,33.29469521341879,1.0793308019638062
2024-03-29 15:15:00,0,0,0.0,0.00011646747589111328,0.0,0.0,-0.00010790711770590131,1.0798781050576105,1.0785404913955265,1.0793037712574005,1.0788205321188327,0.0003674090275196652,0.0,53.48505386316616,-6.506201671196976e-05,3.35857382474798e-05,33.29469521341879,1.0793308019638062
2024-03-29 15:20:00,0,0,0.0,0.00011646747589111328,0.0,0.00010790711770590131,0.0,1.0798845754729376,1.0785430788993835,1.0793247752719455,1.078834534795196,0.00035546840182002106,0.0,52.378633685543164,-8.929823242787016e-05,9.008944112409808e-06,33.29469521341879,1.0793308019638062
2024-03-29 15:25:00,1,0,0.00010790711770591876,0.0,0.0,0.0,0.0,1.0799039800961812,1.0785456670655145,1.0793473968903224,1.0788496158741139,0.0003089568078854145,0.00010790129615168062,57.48939215786514,-9.797822407242585e-05,-1.2388489524557325e-05,39.9563616528024,1.0794472694396973
2024-03-29 15:30:00,0,0,-0.00010789547501621755,0.00023305416107177734,-0.00023305416107177734,0.0,-0.00021587806941622816,1.079907215303845,1.0785482545693716,1.0793667866124048,1.0788636185504772,0.0003022554309297777,-0.00010790129615170191,51.34970850716989,-0.00011295307914616082,-3.250140744887803e-05,9.079925650557621,1.0793308019638062
2024-03-29 15:35:00,1,0,0.0,0.0,0.0,0.0,0.0,1.0799039800961812,1.0785508420732286,1.079386176334487,1.0788776212268405,0.00030773481473114674,0.0,48.57326440608663,-0.00012339830088037296,-5.068078613517702e-05,9.079925650557621,1.0793308019638062
2024-03-29 15:40:00,0,0,0.00010790711770591876,0.00011646747589111328,0.0,0.0,-0.0001078954750161788,1.0798845456706152,1.0785540766186184,1.0794071836604013,1.0788905510195979,0.000313811646570184,0.00010790129615168062,40.00068150066446,-0.00012088477794147678,-6.472158449643697e-05,18.159851301115243,1.0794472694396973
2024-03-29 15:45:00,0,0,-0.00010789547501621755,0.00011646747589111328,0.0,0.0,-0.00010790711770590131,1.0798683563868205,1.0785560177432165,1.0794233464532428,1.0789034775009863,0.0003266645678662892,-0.00010790129615170191,41.38259244897239,-0.00012682874205838246,-7.714301600882608e-05,9.079925650557621,1.0793308019638062
2024-03-29 15:50:00,1,0,0.0,0.0,0.0,0.0,0.0,1.0798456867535908,1.0785586052470737,1.079441123538547,1.0789164039823744,0.00033476455771562605,0.0,37.03900037864446,-0.0001300403522117577,-8.77224832494124e-05,9.079925650557621,1.0793308019638062
2024-03-29 15:55:00,1,0,0.0,0.0,0.0,0.0,0.0,1.0798230171203613,1.0785611927509309,1.0794572863313887,1.0789293304637626,0.0003411701243724026,0.0,37.03900037864446,-0.000131074629657002,-9.639291253093032e-05,9.079925650557621,1.0793308019638062
2024-03-29 16:00:00,0,0,0.0,0.00023305416107177734,-0.00023305416107177734,0.0,-0.00021587806941622816,1.0798003474871318,1.0785650736755794,1.0794686045911577,1.0789422569451508,0.0003459753949119628,0.0,37.03900037864446,-0.00013039123301550326,-0.00010319257662784492,9.079925650557621,1.0793308019638062
2024-03-29 16:05:00,1,0,0.0,0.0,0.0,0.0,0.0,1.079777677853902,1.0785689546002282,1.0794799228509266,1.0789541083353538,0.0003492464308524322,0.0,37.03900037864446,-0.00012836986831921138,-0.00010822803496611823,9.079925650557621,1.0793308019638062
2024-03-29 16:10:00,0,0,-0.00010790711770591876,0.00011646747589111328,-0.00011646747589111328,0.0,-0.00010790711770590131,1.079748531182607,1.0785721884833441,1.0794880075587168,1.078964881323002,0.00035125444443035163,-0.00010791294009780001,33.33459557709786,-0.00013461412632520542,-0.00011350525323793567,0.0,1.079214334487915
