date,MACD,RSI,BB_Middle,BB_Upper,BB_Lower,Moving Average2,Moving Average3,Volatility,MA_diff,ADX,Doji,Hammer_Signal,Engulfing,Harami,Three_crows,Open,High,Low,Close
2024-01-03 00:00:00,-0.16763269567849193,39.77661312118826,179.5297508239746,180.44291584601524,178.61658580193398,179.2949981689453,179.2949981689453,0.0,0.0,19.584356597352734,0,0,-1,0,0,179.45199584960938,179.4550018310547,179.16600036621094,179.2949981689453
2024-01-03 01:00:00,-0.15669131556057891,44.99990463293216,179.49505081176758,180.37950971688255,178.61059190665262,179.31849670410156,179.31849670410156,0.02349853515625,0.02349853515625,19.584356597352734,0,0,0,1,0,179.2969970703125,179.4669952392578,179.1999969482422,179.3419952392578
2024-01-03 02:00:00,-0.14476314973350668,43.2990974575438,179.45495071411133,180.28117664266864,178.62872478555403,179.33533223470053,179.33533223470053,0.03057762173152849,0.03367106119790719,19.584356597352734,0,0,0,0,0,179.3419952392578,179.3990020751953,179.29299926757812,179.36900329589844
2024-01-03 03:00:00,-0.13512497590889438,45.943333240604225,179.4114501953125,180.15659712641104,178.66630326421398,179.33799743652344,179.33799743652344,0.026880348125311704,0.00799560546875,19.584356597352734,0,1,0,0,-2,179.3719940185547,179.39199829101562,179.2729949951172,179.3459930419922
2024-01-03 04:00:00,-0.12404055473280096,70.31000648635292,179.35670013427733,179.9086907923855,178.80470947616917,179.34639892578124,179.34639892578124,0.02933227879430717,0.033605957031255684,19.584356597352734,0,0,0,0,0,179.3459930419922,179.41799926757812,179.31100463867188,179.3800048828125
2024-01-03 05:00:00,-0.1064543749498057,63.5758494379184,179.33115005493164,179.79466856427914,178.86763154558415,179.3729985555013,179.3729985555013,0.06522796171077622,0.13299814860025094,19.584356597352734,0,0,0,0,0,179.375,179.5330047607422,179.3699951171875,179.50599670410156
2024-01-03 06:00:00,-0.08305312169082413,66.81702587942878,179.32210006713868,179.7506891009923,178.89351103328505,179.41185651506697,179.41185651506697,0.11272320387387842,0.2331477573939651,19.584356597352734,0,0,0,0,2,179.50900268554688,179.6999969482422,179.44000244140625,179.64500427246094
2024-01-03 07:00:00,-0.03903909374176351,72.27424813475886,179.34585037231446,179.87575179766705,178.81594894696187,179.49250030517578,179.49250030517578,0.23799611716780414,0.5645065307617188,19.584356597352734,0,0,0,0,2,179.6529998779297,180.1219940185547,179.50399780273438,180.0570068359375
2024-01-03 08:00:00,0.006740342093024765,80.59913342297924,179.37315063476564,180.0192695766289,178.7270316929024,179.57411193847656,179.57411193847656,0.32191963109812466,0.65289306640625,19.584356597352734,0,0,0,0,2,180.06700134277344,180.34800720214844,180.01300048828125,180.2270050048828
2024-01-03 09:00:00,0.03647676137498479,79.28934289940013,179.40245056152344,180.12589306696017,178.6790080560867,179.62770080566406,179.62770080566406,0.3451303002862483,0.4822998046875,19.584356597352734,0,0,-1,0,-2,180.22999572753906,180.33599853515625,179.99000549316406,180.11000061035156
2024-01-03 10:00:00,0.060215962576876336,79.48183579225692,179.46925048828126,180.1966279134002,178.74187306316233,179.67190967906606,179.67190967906606,0.3575339698264942,0.44208873401987603,19.584356597352734,1,0,0,1,0,180.11099243164062,180.29299926757812,180.0290069580078,180.11399841308594
2024-01-03 11:00:00,0.10006426161541526,85.4234634966639,179.53410110473632,180.37461748089797,178.69358472857468,179.73883438110352,179.73883438110352,0.4079780236553703,0.7361717224121094,19.584356597352734,0,0,0,0,0,180.11300659179688,180.5449981689453,180.03799438476562,180.47500610351562
