date,Doji,Three Crows Pattern,Hammer_Signal,Engulfing,Harami,Three_crows,Piercing,Three line Strike,Three Outside,Three Inside,Daily Return,High-Low Range,Close-Open Change,Relative High,Relative Low,Moving Average1,Moving Average2,Moving Average3,Volatility,Log Returns,BB_Middle,BB_Upper,BB_Lower,RSI,Stochastic,Close
2024-04-01 15:45:00,0,0,0,0,0,0,0,0,0,0,1.3747334604907735e-05,0.01016998291015625,0.001720428466796875,0.0007609978548475564,-0.00016699312560920077,10.94501713344029,10.92344355583191,10.912491117204938,0.014302684562506066,1.3747240111169389e-05,10.94501713344029,10.974702327883746,10.915331938996834,70.9675769663496,87.48444797057286,10.960860252380371
2024-04-01 15:50:00,0,0,0,0,0,1,0,0,0,0,0.00014773831177228303,0.007159233093261719,0.003269195556640625,0.0006532617619967341,0.0,10.947872843061175,10.92549569266183,10.914681593577066,0.013489849604019465,0.00014772739954265672,10.947872843061175,10.975871000103528,10.919874686018822,71.23880355043975,90.54616924214285,10.962479591369629
2024-04-01 15:55:00,1,0,0,0,0,0,0,0,0,0,0.00015693789461201924,0.004559516906738281,0.00030040740966796875,0.0001724005656686976,-0.00024346578370670262,10.950299263000488,10.92778069632394,10.916848023732504,0.01314901179067614,0.0001569255811489191,10.950299263000488,10.977590011813389,10.923008514187588,69.2769780279251,93.79902270145513,10.964200019836426
2024-04-01 16:00:00,0,0,1,0,0,0,0,0,0,0,0.00014960688616150186,0.008600234985351562,0.00164031982421875,0.0002444159012288379,-0.0005399764821454184,10.953055722372872,10.930033922195435,10.91905232838222,0.012025064649780834,0.00014959569616736126,10.953055722372872,10.978013721045347,10.928097723700397,72.23718195306918,96.90041291765088,10.965840339660645
2024-04-01 16:05:00,0,0,0,0,0,0,0,0,0,0,0.0003930072025810638,0.011159896850585938,0.005450248718261719,0.0007743543039287152,-0.0002434480171511259,10.95672573362078,10.932596785681588,10.921324956984748,0.008248622852842172,0.0003929299954783928,10.95672573362078,10.97384573456936,10.9396057326722,81.10192583013901,94.8117890214331,10.970149993896484
2024-04-01 16:10:00,0,0,0,0,0,0,0,0,-1,0,-0.0007730133157889396,0.011110305786132812,-0.01020050048828125,0.0,-0.0010126172984587355,10.95766360419137,10.934810706547328,10.923225425538563,0.008007482636825707,-0.0007733122446427171,10.95766360419137,10.974283119082994,10.941044089299748,60.708063713290194,66.4425801433413,10.961669921875
2024-04-01 16:15:00,0,0,0,-1,0,0,0,0,0,0,3.6540346111113564e-06,0.005889892578125,-0.0010995864868164062,0.0001678941351794845,-0.0003693670973948659,10.958806446620397,10.937237126486641,10.925079005105156,0.007333292380455846,3.6540279351431497e-06,10.958806446620397,10.974026680924887,10.943586212315907,63.670289914117625,66.55925329184956,10.961709976196289
2024-04-01 16:20:00,0,0,0,0,1,0,0,0,0,0,3.558320702312656e-05,0.0039997100830078125,0.00034046173095703125,0.00029014537544811586,-7.473309670462714e-05,10.96044213431222,10.939674990517753,10.926926158723377,0.004941619982681401,3.5582573955833204e-05,10.96044213431222,10.970698457131233,10.950185811493208,71.85054417064026,67.69542752375132,10.9621000289917
2024-04-01 16:25:00,0,0,0,0,0,0,0,0,0,0,0.0002454196950827381,0.00543975830078125,0.0015802383422851562,0.0003849245621798439,-0.00011125842147525884,10.961293561117989,10.942129986626762,10.928657123020717,0.00457712343573747,0.0002453895845957411,10.961293561117989,10.970793372051228,10.95179375018475,64.38882877075037,68.46853297057349,10.964790344238281
2024-04-01 16:30:00,0,0,0,0,0,0,0,0,0,0,0.00020517653705831584,0.008540153503417969,0.0037298202514648438,0.0006074358569308057,-0.00017153995558750521,10.962266445159912,10.944562128611974,10.93036665235247,0.004234839604374741,0.00020515549123132693,10.962266445159912,10.971055846656066,10.953477043663758,65.7930820948337,76.9134388200759,10.967040061950684
