date,Hammer,Doji,Candle Pattern,Daily Return,High-Low Range,Close-Open Change,Relative High,Relative Low,Moving Average,Moving Average1,Volatility,Log Returns,RSI,MACD,MACD_Signal,Stochastic,Close
2024-03-29 15:55:00,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0798230171203613,1.0785611927509309,0.00034117012437199655,0.0,37.03900037864446,-0.000131074629657002,-9.639291253093032e-05,9.079925650557621,1.0793308019638062
2024-03-29 16:00:00,0,0,0,0.0,0.00023305416107177734,-0.00023305416107177734,0.0,-0.00021587806941622816,1.0798003474871318,1.0785650736755794,0.0003459753949115624,0.0,37.03900037864446,-0.00013039123301550326,-0.00010319257662784492,9.079925650557621,1.0793308019638062
2024-03-29 16:05:00,1,0,0,0.0,0.0,0.0,0.0,0.0,1.079777677853902,1.0785689546002282,0.0003492464308520355,0.0,37.03900037864446,-0.00012836986831921138,-0.00010822803496611823,9.079925650557621,1.0793308019638062
2024-03-29 16:10:00,0,0,0,-0.00010790711770591876,0.00011646747589111328,-0.00011646747589111328,0.0,-0.00010790711770590131,1.079748531182607,1.0785721884833441,0.00035125444442995725,-0.00010791294009780001,33.33459557709786,-0.00013461412632520542,-0.00011350525323793567,0.0,1.079214334487915
2024-03-29 16:15:00,0,0,0,-0.00010791876290849878,0.00011646747589111328,-0.00011646747589111328,0.0,-0.00010791876290855315,1.0797129074732463,1.0785747753249275,0.00035040409044663707,-0.0001079245865571837,29.629629629629633,-0.00014726313991886286,-0.00012025683057412111,0.0,1.079097867012024
2024-03-29 16:20:00,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0796772837638855,1.0785773621665107,0.00034590211206992174,0.0,29.629629629629633,-0.00015549512333357107,-0.0001273044891260111,0.0,1.079097867012024
2024-03-29 16:25:00,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0796449018849268,1.0785812411043378,0.00034405783270292613,0.0,30.77044086994141,-0.00016017265879142428,-0.00013387812305909374,0.0,1.079097867012024
2024-03-29 16:30:00,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0796254807048373,1.0785851200421652,0.00035449707343454865,0.0,36.368707293264535,-0.00016201206510402244,-0.0001395049114680795,0.0,1.079097867012024
2024-03-29 16:35:00,1,0,0,0.0,0.0,0.0,0.0,0.0,1.079606059524748,1.0785889989799924,0.00036360169613323343,0.0,36.368707293264535,-0.00016160690406574751,-0.0001439253099876131,0.0,1.079097867012024
2024-03-29 16:40:00,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0795866383446588,1.0785935236348045,0.0003714698471156819,0.0,36.368707293264535,-0.00015944779608356718,-0.0001470298072068039,0.0,1.079097867012024
2024-03-29 16:45:00,0,0,0,0.0,0.00011646747589111328,0.00011646747589111328,0.00010794206085589989,0.0,1.079560740126504,1.078598048289617,0.00037214231885673084,0.0,30.00460193281178,-0.00015593911836431218,-0.00014881166943830557,9.083302342878394,1.079097867012024
2024-03-29 16:50:00,0,0,0,0.0,0.00011646747589111328,0.0,0.0,-0.000107930410624948,1.079531600077947,1.0786025729444293,0.00036612555993996996,0.0,26.316072774249108,-0.0001514130703692551,-0.0001493319496244955,9.083302342878394,1.079097867012024
2024-03-29 16:55:00,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0794992181989882,1.0786090347501966,0.0003511985532181282,0.0,22.217171430194895,-0.00014614151629488425,-0.00014869386295857326,9.083302342878394,1.079097867012024
